//联锁表-集 宁 南 站(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
628    |DCJL|D2A,D16A    |D2     |2-4,10-12                     |2DG,10DG                     |D4;
629    |DCJL|D2A,D22A    |D2     |2-4,(10-12)                     |2DG,10DG,12DG,14DG                     |D4;
630    |DCJL|D2A,D30A    |D2     |(2-4),(14-16),18-20                     |2DG,4DG,14DG,16-20DG,12DG                     |D6;
631    |DCJL|D2A,D4A    |D2     |2-4                     |2DG                     |D4;
632    |DCJL|D2A,D34A    |D2     |(2-4),(14-16),18-20,(34)                     |2DG,4DG,14DG,16-20DG,12DG,34-36DG                     |D6;
633    |DCJL|D2A,XVIIIDA    |D2     |2-4,10-12,62-64,66-70                     |2DG,10DG,64DG,66DG                     |D4;
634    |DCJL|D2A,D6A    |D2     |(2-4)                     |2DG,4DG                     |D6;
635    |DCJL|D4A,D2A    |D4     |2-4                     |2DG                     |D2;
636    |DCJL|D72A,D50A    |D72     |(78),82,84,86,66-70,(72),(76)                     |78DG,82DG,84-86DG,68-76DG                     |D70,D62;
637    |DCJL|D72A,D52A    |D72     |(78),82,84,86,66-70,(72),76                     |78DG,82DG,84-86DG,68-76DG                     |D70,D62;
638    |DCJL|D72A,D48A    |D72     |(78),82,84,86,66-70,72                     |78DG,82DG,84-86DG,68-76DG                     |D70,D62;
639    |DCJL|D72A,D58A    |D72     |(78),82,84,86                     |78DG,82DG,84-86DG                     |D70,D62;
640    |DCJL|D72A,D56A    |D72     |(78),82,84,(86)                     |78DG,82DG,84-86DG                     |D70,D62;
641    |DCJL|D72A,D60A    |D72     |(78),82,(84)                     |78DG,82DG,84-86DG                     |D70,D62;
642    |DCJL|D72A,D62A    |D72     |(78),82                     |78DG,82DG                     |D70,D62;
643    |DCJL|D74A,D50A    |D74     |78,82,84,86,66-70,(72),(76)                     |78DG,82DG,84-86DG,68-76DG                     |D70,D62;
644    |DCJL|D74A,D52A    |D74     |78,82,84,86,66-70,(72),76                     |78DG,82DG,84-86DG,68-76DG                     |D70,D62;
645    |DCJL|D74A,D48A    |D74     |78,82,84,86,66-70,72                     |78DG,82DG,84-86DG,68-76DG                     |D70,D62;
646    |DCJL|D74A,D58A    |D74     |78,82,84,86                     |78DG,82DG,84-86DG                     |D70,D62;
647    |DCJL|D74A,D56A    |D74     |78,82,84,(86)                     |78DG,82DG,84-86DG                     |D70,D62;
648    |DCJL|D74A,D60A    |D74     |78,82,(84)                     |78DG,82DG,84-86DG                     |D70,D62;
649    |DCJL|D74A,D62A    |D74     |78,82                     |78DG,82DG                     |D70,D62;
650    |DCJL|D70A,D72A    |D70     |(78)                     |78DG                     |D72;
651    |DCJL|D70A,D74A    |D70     |78                     |78DG                     |D74;
652    |DCJL|D68A,D50A    |D68     |(82),84,86,66-70,(72),(76)                     |82DG,84-86DG,68-76DG                     |D62;
653    |DCJL|D68A,D52A    |D68     |(82),84,86,66-70,(72),76                     |82DG,84-86DG,68-76DG                     |D62;
654    |DCJL|D68A,D48A    |D68     |(82),84,86,66-70,72                     |82DG,84-86DG,68-76DG                     |D62;
655    |DCJL|D68A,D58A    |D68     |(82),84,86                     |82DG,84-86DG                     |D62;
656    |DCJL|D68A,D56A    |D68     |(82),84,(86)                     |82DG,84-86DG                     |D62;
657    |DCJL|D68A,D60A    |D68     |(82),(84)                     |82DG,84-86DG                     |D62;
658    |DCJL|D68A,D62A    |D68     |(82)                     |82DG                     |D62;
659    |DCJL|D64A,D50A    |D64     |84,86,66-70,(72),(76)                     |84-86DG,68-76DG                     |D58;
660    |DCJL|D64A,D52A    |D64     |84,86,66-70,(72),76                     |84-86DG,68-76DG                     |D58;
661    |DCJL|D64A,D48A    |D64     |84,86,66-70,72                     |84-86DG,68-76DG                     |D58;
662    |DCJL|D64A,D58A    |D64     |84,86                     |84-86DG                     |D58;
663    |DCJL|D64A,D56A    |D64     |84,(86)                     |84-86DG                     |D56;
664    |DCJL|D64A,D60A    |D64     |(84)                     |84-86DG                     |D60;
665    |DCJL|D36A,D50A    |D36     |40-42,44-46,(62-64),(66-70),(72),(76)                     |42-44DG,62DG,64DG,66DG,68-76DG                     |D40;
666    |DCJL|D36A,D52A    |D36     |40-42,44-46,(62-64),(66-70),(72),76                     |42-44DG,62DG,64DG,66DG,68-76DG                     |D40;
667    |DCJL|D36A,D48A    |D36     |40-42,44-46,(62-64),(66-70),72                     |42-44DG,62DG,64DG,66DG,68-76DG                     |D40;
668    |DCJL|D36A,XVIIDA    |D36     |40-42,44-46,62-64                     |42-44DG,62DG                     |D40;
669    |DCJL|D36A,X6DA    |D36     |40-42,(44-46),40-42,52                     |42-44DG,40-46DG,52DG,54-60DG                     |D42;
670    |DCJL|D36A,X5DA    |D36     |40-42,(44-46),40-42,(52),58-60,54-56                     |42-44DG,40-46DG,52DG,54-60DG                     |D42;
671    |DCJL|D36A,X4DA    |D36     |40-42,(44-46),40-42,(52),58-60,(54-56),58-60                     |42-44DG,40-46DG,52DG,54-60DG,56-58DG                     |D42;
672    |DCJL|D36A,D46A    |D36     |40-42,44-46,(62-64)                     |42-44DG,62DG,64DG                     |D40;
673    |DCJL|D36A,D40A    |D36     |40-42,44-46                     |42-44DG                     |D40;
674    |DCJL|D36A,D42A    |D36     |40-42,(44-46),40-42                     |42-44DG,40-46DG                     |D42;
675    |DCJL|D36A,XVIIIDA    |D36     |40-42,44-46,(62-64),66-70                     |42-44DG,62DG,64DG,66DG                     |D40;
676    |DCJL|D34A,D50A    |D34     |44-46,(40-42),44-46,(62-64),(66-70),(72),(76)                     |40-46DG,42-44DG,62DG,64DG,66DG,68-76DG                     |D40;
677    |DCJL|D34A,D52A    |D34     |44-46,(40-42),44-46,(62-64),(66-70),(72),76                     |40-46DG,42-44DG,62DG,64DG,66DG,68-76DG                     |D40;
678    |DCJL|D34A,D48A    |D34     |44-46,(40-42),44-46,(62-64),(66-70),72                     |40-46DG,42-44DG,62DG,64DG,66DG,68-76DG                     |D40;
679    |DCJL|D34A,XVIIDA    |D34     |44-46,(40-42),44-46,62-64                     |40-46DG,42-44DG,62DG                     |D40;
680    |DCJL|D34A,X6DA    |D34     |44-46,40-42,52                     |40-46DG,52DG,54-60DG                     |D42;
681    |DCJL|D34A,X5DA    |D34     |44-46,40-42,(52),58-60,54-56                     |40-46DG,52DG,54-60DG                     |D42;
682    |DCJL|D34A,X4DA    |D34     |44-46,40-42,(52),58-60,(54-56),58-60                     |40-46DG,52DG,54-60DG,56-58DG                     |D42;
683    |DCJL|D34A,D46A    |D34     |44-46,(40-42),44-46,(62-64)                     |40-46DG,42-44DG,62DG,64DG                     |D40;
684    |DCJL|D34A,D40A    |D34     |44-46,(40-42),44-46                     |40-46DG,42-44DG                     |D40;
685    |DCJL|D34A,D42A    |D34     |44-46,40-42                     |40-46DG                     |D42;
686    |DCJL|D34A,XVIIIDA    |D34     |44-46,(40-42),44-46,(62-64),66-70                     |40-46DG,42-44DG,62DG,64DG,66DG                     |D40;
687    |DCJL|D8A,D50A    |D8     |(6-8),(18-20),(34),44-46,(40-42),44-46,(62-64),(66-70),(72),(76)                     |6DG,8DG,18DG,16-20DG,26DG,34-36DG,40-46DG,42-44DG,62DG,64DG,66DG,68-76DG                     |D14;
688    |DCJL|D8A,D52A    |D8     |(6-8),(18-20),(34),44-46,(40-42),44-46,(62-64),(66-70),(72),76                     |6DG,8DG,18DG,16-20DG,26DG,34-36DG,40-46DG,42-44DG,62DG,64DG,66DG,68-76DG                     |D14;
689    |DCJL|D8A,D48A    |D8     |(6-8),(18-20),(34),44-46,(40-42),44-46,(62-64),(66-70),72                     |6DG,8DG,18DG,16-20DG,26DG,34-36DG,40-46DG,42-44DG,62DG,64DG,66DG,68-76DG                     |D14;
690    |DCJL|D8A,XVIIDA    |D8     |(6-8),(18-20),(34),44-46,(40-42),44-46,62-64                     |6DG,8DG,18DG,16-20DG,26DG,34-36DG,40-46DG,42-44DG,62DG                     |D14;
691    |DCJL|D8A,X6DA    |D8     |(6-8),(18-20),(34),44-46,40-42,52                     |6DG,8DG,18DG,16-20DG,26DG,34-36DG,40-46DG,52DG,54-60DG                     |D14;
692    |DCJL|D8A,X5DA    |D8     |(6-8),(18-20),34,36-38,(48),50,54-56,(58-60),54-56                     |6DG,8DG,18DG,16-20DG,26DG,34-36DG,48-50DG,56-58DG,54-60DG                     |D14;
693    |DCJL|D8A,X4DA    |D8     |(6-8),(18-20),34,36-38,(48),50,54-56,58-60                     |6DG,8DG,18DG,16-20DG,26DG,34-36DG,48-50DG,56-58DG                     |D14;
694    |DCJL|D8A,X3DA    |D8     |(6-8),(18-20),34,36-38,(48),(50)                     |6DG,8DG,18DG,16-20DG,26DG,34-36DG,48-50DG,56-58DG                     |D14;
695    |DCJL|D8A,XIIDA    |D8     |(6-8),(18-20),34,36-38,48                     |6DG,8DG,18DG,16-20DG,26DG,34-36DG,48-50DG                     |D14;
696    |DCJL|D8A,XIDA    |D8     |6-8,30,(22-26),36-38                     |6DG,22-30DG,26DG,32DG,18DG,38DG                     |D18;
697    |DCJL|D8A,D46A    |D8     |(6-8),(18-20),(34),44-46,(40-42),44-46,(62-64)                     |6DG,8DG,18DG,16-20DG,26DG,34-36DG,40-46DG,42-44DG,62DG,64DG                     |D14;
698    |DCJL|D8A,D40A    |D8     |(6-8),(18-20),(34),44-46,(40-42),44-46                     |6DG,8DG,18DG,16-20DG,26DG,34-36DG,40-46DG,42-44DG                     |D14;
699    |DCJL|D8A,D42A    |D8     |(6-8),(18-20),(34),44-46,40-42                     |6DG,8DG,18DG,16-20DG,26DG,34-36DG,40-46DG                     |D14;
700    |DCJL|D8A,D30A    |D8     |(6-8),(18-20)                     |6DG,8DG,18DG,16-20DG,26DG                     |D14;
701    |DCJL|D8A,D26A    |D8     |6-8,30,(22-26)                     |6DG,22-30DG,26DG,32DG,18DG                     |D18;
702    |DCJL|D8A,D38A    |D8     |6-8,30,22-26,32                     |6DG,22-30DG,32DG                     |D18;
703    |DCJL|D8A,D18A    |D8     |6-8                     |6DG                     |D18;
704    |DCJL|D8A,D14A    |D8     |(6-8)                     |6DG,8DG                     |D14;
705    |DCJL|D8A,D34A    |D8     |(6-8),(18-20),(34)                     |6DG,8DG,18DG,16-20DG,26DG,34-36DG                     |D14;
706    |DCJL|D8A,XVIIIDA    |D8     |(6-8),(18-20),(34),44-46,(40-42),44-46,(62-64),66-70                     |6DG,8DG,18DG,16-20DG,26DG,34-36DG,40-46DG,42-44DG,62DG,64DG,66DG                     |D14;
707    |DCJL|D28A,D50A    |D28     |(34),44-46,(40-42),44-46,(62-64),(66-70),(72),(76)                     |34-36DG,40-46DG,42-44DG,62DG,64DG,66DG,68-76DG                     |D34;
708    |DCJL|D28A,D52A    |D28     |(34),44-46,(40-42),44-46,(62-64),(66-70),(72),76                     |34-36DG,40-46DG,42-44DG,62DG,64DG,66DG,68-76DG                     |D34;
709    |DCJL|D28A,D48A    |D28     |(34),44-46,(40-42),44-46,(62-64),(66-70),72                     |34-36DG,40-46DG,42-44DG,62DG,64DG,66DG,68-76DG                     |D34;
710    |DCJL|D28A,XVIIDA    |D28     |(34),44-46,(40-42),44-46,62-64                     |34-36DG,40-46DG,42-44DG,62DG                     |D34;
711    |DCJL|D28A,X6DA    |D28     |(34),44-46,40-42,52                     |34-36DG,40-46DG,52DG,54-60DG                     |D34;
712    |DCJL|D28A,X5DA    |D28     |(34),44-46,40-42,(52),58-60,54-56                     |34-36DG,40-46DG,52DG,54-60DG                     |D34;
713    |DCJL|D28A,X4DA    |D28     |34,36-38,(48),50,54-56,58-60                     |34-36DG,48-50DG,56-58DG                     |BA,X4;
714    |DCJL|D28A,X3DA    |D28     |34,36-38,(48),(50)                     |34-36DG,48-50DG,56-58DG                     |BA,X3;
715    |DCJL|D28A,XIIDA    |D28     |34,36-38,48                     |34-36DG,48-50DG                     |BA,XII;
716    |DCJL|D28A,XIDA    |D28     |34,(36-38)                     |34-36DG,38DG,48-50DG                     |XI;
717    |DCJL|D28A,D46A    |D28     |(34),44-46,(40-42),44-46,(62-64)                     |34-36DG,40-46DG,42-44DG,62DG,64DG                     |D34;
718    |DCJL|D28A,D40A    |D28     |(34),44-46,(40-42),44-46                     |34-36DG,40-46DG,42-44DG                     |D34;
719    |DCJL|D28A,D42A    |D28     |(34),44-46,40-42                     |34-36DG,40-46DG                     |D34;
720    |DCJL|D28A,D34A    |D28     |(34)                     |34-36DG                     |D34;
721    |DCJL|D28A,XVIIIDA    |D28     |(34),44-46,(40-42),44-46,(62-64),66-70                     |34-36DG,40-46DG,42-44DG,62DG,64DG,66DG                     |D34;
722    |DCJL|XVIIIDA,D44A    |XVIII     |66-70,62-64                     |66DG,64DG                     |D46,D44;
723    |DCJL|XVIIIDA,D10A    |XVIII     |66-70,(62-64),44-46,40-42,10-12,14-16                     |66DG,64DG,62DG,42-44DG,12DG,14DG                     |D46,D40,D36;
724    |DCJL|XVIIIDA,D12A    |XVIII     |66-70,62-64,10-12                     |66DG,64DG,10DG                     |D46,D44;
725    |DCJL|XVIIIDA,D2A    |XVIII     |66-70,62-64,10-12,2-4                     |66DG,64DG,10DG,2DG                     |D46,D44;
726    |DCJL|XVIIIDA,SFDZA    |XVIII     |66-70,(62-64),44-46,40-42,10-12,14-16,2-4                     |66DG,64DG,62DG,42-44DG,12DG,14DG,4DG                     |D46,D40,D36;
727    |DCJL|XVIIIDA,SDZA    |XVIII     |66-70,(62-64),44-46,(40-42),44-46,(34),18-20,14-16                     |66DG,64DG,62DG,42-44DG,40-46DG,34-36DG,16-20DG                     |D46,D40,D34,D28;
728    |DCJL|XVIIIDA,SJDA    |XVIII     |66-70,(62-64),44-46,(40-42),44-46,(34),(18-20),6-8                     |66DG,64DG,62DG,42-44DG,40-46DG,34-36DG,16-20DG,18DG,8DG,26DG                     |D46,D40,D34,D28;
729    |DCJL|XVIIIDA,D36A    |XVIII     |66-70,(62-64),44-46,40-42                     |66DG,64DG,62DG,42-44DG                     |D46,D40,D36;
730    |DCJL|XVIIIDA,D8A    |XVIII     |66-70,(62-64),44-46,(40-42),44-46,(34),(18-20),(6-8)                     |66DG,64DG,62DG,42-44DG,40-46DG,34-36DG,16-20DG,18DG,8DG,6DG,26DG                     |D46,D40,D34,D28;
731    |DCJL|XVIIIDA,D28A    |XVIII     |66-70,(62-64),44-46,(40-42),44-46,(34)                     |66DG,64DG,62DG,42-44DG,40-46DG,34-36DG                     |D46,D40,D34,D28;
732    |DCJL|D6A,D2A    |D6     |(2-4)                     |4DG,2DG                     |D2;
733    |DCJL|D6A,SFDZA    |D6     |2-4                     |4DG                     |SF;
####
//结束标识
