//联锁表-新街(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
82    |LCJL|XNLA,S11LLA    |XN     |1-3,(11-13),(23),39-41,35-37,43,45,49,56-58                     |3DG,11DG,13DG,23DG,35-41DG,43-47DG,45-49DG,11G1,56DG,1-5DG,11G2                     |D7,D21,D39,D41,S11,X11L,S11L;
83    |LCJL|XNLA,S9LLA    |XN     |1-3,(11-13),(23),39-41,35-37,(43),(47),60-62                     |3DG,11DG,13DG,23DG,35-41DG,43-47DG,9G1,62DG,1-5DG,45-49DG,9G2                     |D7,D21,D39,D41,S9,X9L,S9L;
84    |LCJL|XNLA,S7LLA    |XN     |1-3,(11-13),(23),39-41,35-37,(43),47,60-62                     |3DG,11DG,13DG,23DG,35-41DG,43-47DG,7G1,60DG,1-5DG,45-49DG,7G2                     |D7,D21,D39,D41,S7,X7L,S7L;
85    |LCJL|XNLA,X5LLZA    |XN     |1-3,(11-13),23,(27),(33)                     |3DG,11DG,13DG,23DG,27DG,33DG,5G1,1-5DG,35-41DG,5G2                     |D7,D21,D43,S5,X5L,X5LLZA;
86    |LCJL|XNLA,X3LLZA    |XN     |1-3,(11-13),23,(27),33                     |3DG,11DG,13DG,23DG,27DG,33DG,3G1,1-5DG,35-41DG,3G2                     |D7,D21,D43,S3,X3L,X3LLZA;
87    |LCJL|XNLA,XILLZA    |XN     |1-3,(11-13),23,27                     |3DG,11DG,13DG,23DG,27DG,IG1,1-5DG,35-41DG,IG2                     |D7,D21,SI,XIL,XILLZA;
88    |LCJL|S23LA,XLA    |S23     |(51-53),39-41,35-37,(5-7),1-3                     |53DG,51DG,37-39DG,7/39G,7-9DG,1-5DG,IAG,55-57DG,13DG,X3JG                     |D37,D35,D23,D13,D1,X;
89    |LCJL|S23LA,XNLA    |S23     |(51-53),39-41,(35-37),39-41,(23),(11-13),1-3                     |53DG,51DG,37-39DG,35-41DG,23DG,13DG,11DG,3DG,55-57DG,1-5DG,S1LQ                     |D37,D35,D21,D7,XN;
90    |LCJL|S23LA,D21A,XLA    |S23     |(51-53),39-41,(35-37),39-41,(23),11-13,5-7,1-3                     |53DG,51DG,37-39DG,35-41DG,23DG,55-57DG,13DG,1-5DG,IAG,X3JG                     |D37,D35,D21,D1,X;
91    |LCJL|S21LA,XLA    |S21     |(57),55,51-53,39-41,35-37,(5-7),1-3                     |55-57DG,51DG,37-39DG,7/39G,7-9DG,1-5DG,IAG,13DG,X3JG                     |D37,D35,D23,D13,D1,X;
92    |LCJL|S21LA,XNLA    |S21     |(57),55,51-53,39-41,(35-37),39-41,(23),(11-13),1-3                     |55-57DG,51DG,37-39DG,35-41DG,23DG,13DG,11DG,3DG,1-5DG,S1LQ                     |D37,D35,D21,D7,XN;
93    |LCJL|S21LA,D21A,XLA    |S21     |(57),55,51-53,39-41,(35-37),39-41,(23),11-13,5-7,1-3                     |55-57DG,51DG,37-39DG,35-41DG,23DG,13DG,1-5DG,IAG,X3JG                     |D37,D35,D21,D1,X;
94    |LCJL|S19LA,XLA    |S19     |57,55,51-53,39-41,35-37,(5-7),1-3                     |55-57DG,51DG,37-39DG,7/39G,7-9DG,1-5DG,IAG,13DG,X3JG                     |D37,D35,D23,D13,D1,X;
95    |LCJL|S19LA,XNLA    |S19     |57,55,51-53,39-41,(35-37),39-41,(23),(11-13),1-3                     |55-57DG,51DG,37-39DG,35-41DG,23DG,13DG,11DG,3DG,1-5DG,S1LQ                     |D37,D35,D21,D7,XN;
96    |LCJL|S19LA,D21A,XLA    |S19     |57,55,51-53,39-41,(35-37),39-41,(23),11-13,5-7,1-3                     |55-57DG,51DG,37-39DG,35-41DG,23DG,13DG,1-5DG,IAG,X3JG                     |D37,D35,D21,D1,X;
97    |LCJL|S17LA,XLA    |S17     |(55),51-53,39-41,35-37,(5-7),1-3                     |55-57DG,51DG,37-39DG,7/39G,7-9DG,1-5DG,IAG,13DG,X3JG                     |D37,D35,D23,D13,D1,X;
98    |LCJL|S17LA,XNLA    |S17     |(55),51-53,39-41,(35-37),39-41,(23),(11-13),1-3                     |55-57DG,51DG,37-39DG,35-41DG,23DG,13DG,11DG,3DG,1-5DG,S1LQ                     |D37,D35,D21,D7,XN;
99    |LCJL|S17LA,D21A,XLA    |S17     |(55),51-53,39-41,(35-37),39-41,(23),11-13,5-7,1-3                     |55-57DG,51DG,37-39DG,35-41DG,23DG,13DG,1-5DG,IAG,X3JG                     |D37,D35,D21,D1,X;
100    |LCJL|S15LA,XLA    |S15     |(45),43,35-37,39-41,(23),11-13,5-7,1-3                     |45-49DG,43-47DG,35-41DG,23DG,13DG,1-5DG,IAG,X3JG                     |D41,D39,D21,D1,X;
101    |LCJL|S15LA,XNLA    |S15     |(45),43,35-37,39-41,(23),(11-13),1-3                     |45-49DG,43-47DG,35-41DG,23DG,13DG,11DG,3DG,1-5DG,S1LQ                     |D41,D39,D21,D7,XN;
102    |LCJL|S15LA,D13A,XLA    |S15     |(45),43,35-37,(39-41),35-37,(5-7),1-3                     |45-49DG,43-47DG,35-41DG,37-39DG,7-9DG,1-5DG,IAG,13DG,X3JG                     |D41,D39,D23,D13,D1,X;
