//联锁表-新街(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
49    |LCJL|XNLA,S11LA    |XN     |1-3,(11-13),(23),39-41,35-37,43,45,49                     |3DG,11DG,13DG,23DG,35-41DG,43-47DG,45-49DG,1-5DG,11G1                     |D7,D21,D39,D41,S11;
50    |LCJL|XNLA,S9LA    |XN     |1-3,(11-13),(23),39-41,35-37,(43),(47)                     |3DG,11DG,13DG,23DG,35-41DG,43-47DG,1-5DG,45-49DG,9G1                     |D7,D21,D39,D41,S9;
51    |LCJL|XNLA,S7LA    |XN     |1-3,(11-13),(23),39-41,35-37,(43),47                     |3DG,11DG,13DG,23DG,35-41DG,43-47DG,1-5DG,45-49DG,7G1                     |D7,D21,D39,D41,S7;
52    |LCJL|XNLA,S5LA    |XN     |1-3,(11-13),23,(27),(33)                     |3DG,11DG,13DG,23DG,27DG,33DG,1-5DG,35-41DG,5G1                     |D7,D21,D43,S5;
53    |LCJL|XNLA,S3LA    |XN     |1-3,(11-13),23,(27),33                     |3DG,11DG,13DG,23DG,27DG,33DG,1-5DG,35-41DG,3G1                     |D7,D21,D43,S3;
54    |LCJL|XNLA,SILA    |XN     |1-3,(11-13),23,27                     |3DG,11DG,13DG,23DG,27DG,1-5DG,35-41DG,IG1                     |D7,D21,SI;
55    |LCJL|XNLA,SIILA    |XN     |1-3,11-13,17-19                     |3DG,11DG,17DG,IIG1                     |D7,D15,SII;
56    |LCJL|XNLA,S4LA    |XN     |1-3,11-13,(17-19),29                     |3DG,11DG,17DG,19DG,19/21G,29-31DG,21DG,4G1                     |D7,D15,D27,D29,S4;
57    |LCJL|XNLA,S6LA    |XN     |1-3,11-13,(17-19),(29),(31)                     |3DG,11DG,17DG,19DG,19/21G,29-31DG,21DG,6G1                     |D7,D15,D27,D29,S6;
58    |LCJL|XNLA,S8LA    |XN     |1-3,11-13,(17-19),(29),31                     |3DG,11DG,17DG,19DG,19/21G,29-31DG,21DG,8G1                     |D7,D15,D27,D29,S8;
59    |LCJL|XNLA,SIILLA    |XN     |1-3,11-13,17-19                     |3DG,11DG,17DG,IIG1,IIG2                     |D7,D15,SII,SIILLZA,SIIL;
60    |LCJL|XNLA,S4LLA    |XN     |1-3,11-13,(17-19),29                     |3DG,11DG,17DG,19DG,19/21G,29-31DG,4G1,21DG,4G2                     |D7,D15,D27,D29,S4,S4LLZA,S4L;
61    |LCJL|XNLA,S6LLA    |XN     |1-3,11-13,(17-19),(29),(31)                     |3DG,11DG,17DG,19DG,19/21G,29-31DG,6G1,21DG                     |D7,D15,D27,D29,S6,S6L;
62    |LCJL|XNLA,S8LLA    |XN     |1-3,11-13,(17-19),(29),31                     |3DG,11DG,17DG,19DG,19/21G,29-31DG,8G1,21DG,8G2                     |D7,D15,D27,D29,S8,S8LLZA,S8L;
63    |LCJL|XNLA,D62LA    |XN     |1-3,(11-13),(23),39-41,(35-37),39-41,51-53,55,(57),90-92                     |3DG,11DG,13DG,23DG,35-41DG,37-39DG,51DG,55-57DG,21G1,92DG,1-5DG,21G2                     |D7,D21,D35,D37,S21,X21L,D62;
64    |LCJL|XNLA,D58LA    |XN     |1-3,(11-13),(23),39-41,(35-37),39-41,51-53,55,57,90-92,86-88                     |3DG,11DG,13DG,23DG,35-41DG,37-39DG,51DG,55-57DG,19G1,90DG,88DG,1-5DG,19G2                     |D7,D21,D35,D37,S19,X19L,D60,D58;
65    |LCJL|XNLA,D56LA    |XN     |1-3,(11-13),(23),39-41,(35-37),39-41,51-53,(55),86-88                     |3DG,11DG,13DG,23DG,35-41DG,37-39DG,51DG,55-57DG,17G1,86DG,1-5DG,17G2                     |D7,D21,D35,D37,S17,X17L,D56;
66    |LCJL|S23LA,XLA    |S23     |(51-53),39-41,35-37,(5-7),1-3                     |53DG,51DG,37-39DG,7/39G,7-9DG,1-5DG,IAG,55-57DG,13DG,X3JG                     |D37,D35,D23,D13,D1,X;
67    |LCJL|S23LA,XNLA    |S23     |(51-53),39-41,(35-37),39-41,(23),(11-13),1-3                     |53DG,51DG,37-39DG,35-41DG,23DG,13DG,11DG,3DG,55-57DG,1-5DG,S1LQ                     |D37,D35,D21,D7,XN;
68    |LCJL|S23LA,D21A,XLA    |S23     |(51-53),39-41,(35-37),39-41,(23),11-13,5-7,1-3                     |53DG,51DG,37-39DG,35-41DG,23DG,55-57DG,13DG,1-5DG,IAG,X3JG                     |D37,D35,D21,D1,X;
69    |LCJL|S21LA,XLA    |S21     |(57),55,51-53,39-41,35-37,(5-7),1-3                     |55-57DG,51DG,37-39DG,7/39G,7-9DG,1-5DG,IAG,13DG,X3JG                     |D37,D35,D23,D13,D1,X;
